wall_0=Wall(-4.68,-2.768,0.0,-2.994,-2.768,0.0,2.8,0.0)
wall_1=Wall(-4.68,-2.768,0.0,-4.68,3.852,0.0,2.8,0.0)
wall_2=Wall(-2.994,-2.768,0.0,-2.994,-0.926,0.0,2.8,0.0)
wall_3=Wall(-3.478,-0.926,0.0,-2.994,-0.926,0.0,2.8,0.0)
wall_4=Wall(-3.478,-0.926,0.0,-3.478,-0.686,0.0,2.8,0.0)
wall_5=Wall(-3.478,-0.686,0.0,3.058,-0.686,0.0,2.8,0.0)
wall_6=Wall(3.058,-0.686,0.0,3.058,0.348,0.0,2.8,0.0)
wall_7=Wall(1.83,0.348,0.0,3.058,0.348,0.0,2.8,0.0)
wall_8=Wall(1.83,0.348,0.0,1.83,3.852,0.0,2.8,0.0)
wall_9=Wall(-4.68,3.852,0.0,1.83,3.852,0.0,2.8,0.0)
door_0=Door(wall_0,-3.6800686035156254,-2.768,1.05,0.7499999988079071,2.0999999690055846)
door_1=Door(wall_1,-4.68,-2.092687499999999,1.05,1.1679869097483158,2.099999995718002)
bbox_0=Bbox(chandelier,-3.016177734375,2.1,2.252,-1.5707963705062866,1.22,0.20111500000000002,1.096)
bbox_1=Bbox(painting,-4.66663671875,-0.11470179748535156,1.6403470458984375,1.5707963705062866,0.5831081351995469,0.026726800000000002,0.8080268067491054)
bbox_2=Bbox(tv,1.804,2.323116455078125,1.153879150390625,-1.5707963705062866,1.8900000599265097,0.053517800000000004,1.0880000294597147)
bbox_3=Bbox(sofa,-1.068884521484375,2.0571083984375,0.4290060119628906,-1.5707963705062866,3.209444790124893,1.5080307100439072,0.858012)
bbox_4=Bbox(coffee_table,0.16959829711914062,2.23109619140625,0.5409568481445313,-1.570796251296997,1.4700499999999999,1.04546,1.07256)
bbox_5=Bbox(chair,0.16959829711914062,0.7590021362304687,0.35369537353515623,0.3141592741012573,0.823729,0.796002,0.6988099999999999)
bbox_6=Bbox(carpet,-0.37418524169921874,2.0032513427734373,0.0025,-1.5707963705062866,3.4879480296897887,3.031631373910904,0.005000000099539757)
bbox_7=Bbox(dining_table_combination,-2.999036376953125,2.219703857421875,0.46593450927734376,1.5707963705062866,3.055042755693197,1.8278052860558034,0.9318690000000001)
bbox_8=Bbox(entrance_cabinet,-4.53,-0.13847285461425782,0.4411820068359375,-1.5707963705062866,1.1485150574684142,0.30000000359117984,0.882364)
